================ Training Loss (Sun Sep 21 20:17:24 2025) ================
(Train - epoch: 3 | iters: 25/106 | time: 0.192) l_pix: 1.113915 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000012 l_landmark: 59.143478 l_tot: 60.257404 
(Train - epoch: 3 | iters: 30/106 | time: 0.206) l_pix: 1.062598 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000004 l_poly: 0.000027 l_landmark: 137.135834 l_tot: 138.198456 
(Train - epoch: 3 | iters: 35/106 | time: 0.185) l_pix: 1.078340 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000007 l_poly: 0.000067 l_landmark: 100.170349 l_tot: 101.248764 
(Train - epoch: 3 | iters: 40/106 | time: 0.184) l_pix: 1.124662 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000001 l_poly: 0.000009 l_landmark: 50.490421 l_tot: 51.615089 
(Train - epoch: 3 | iters: 45/106 | time: 0.197) l_pix: 1.129038 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000009 l_landmark: 98.781624 l_tot: 99.910667 
(Train - epoch: 3 | iters: 50/106 | time: 0.185) l_pix: 1.159318 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000001 l_poly: 0.000007 l_landmark: 72.946945 l_tot: 74.106270 
(Train - epoch: 3 | iters: 55/106 | time: 0.190) l_pix: 1.071861 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000004 l_poly: 0.000031 l_landmark: 132.290344 l_tot: 133.362228 
(Train - epoch: 3 | iters: 60/106 | time: 0.193) l_pix: 1.069403 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000005 l_poly: 0.000033 l_landmark: 119.932808 l_tot: 121.002251 
(Train - epoch: 3 | iters: 65/106 | time: 0.188) l_pix: 1.086440 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000004 l_poly: 0.000027 l_landmark: 65.777122 l_tot: 66.863602 
(Train - epoch: 3 | iters: 70/106 | time: 0.191) l_pix: 1.151893 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000013 l_landmark: 141.744156 l_tot: 142.896057 
(Train - epoch: 3 | iters: 75/106 | time: 0.194) l_pix: 1.061541 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000003 l_poly: 0.000015 l_landmark: 94.198799 l_tot: 95.260353 
(Train - epoch: 3 | iters: 80/106 | time: 0.194) l_pix: 1.095328 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000001 l_poly: 0.000009 l_landmark: 40.978359 l_tot: 42.073696 
(Train - epoch: 3 | iters: 85/106 | time: 0.183) l_pix: 1.098357 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000017 l_landmark: 135.451187 l_tot: 136.549561 
(Train - epoch: 3 | iters: 90/106 | time: 0.192) l_pix: 1.133122 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000001 l_poly: 0.000009 l_landmark: 153.504135 l_tot: 154.637268 
(Train - epoch: 3 | iters: 95/106 | time: 0.216) l_pix: 1.090750 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000014 l_landmark: 224.474640 l_tot: 225.565399 
(Train - epoch: 3 | iters: 100/106 | time: 0.181) l_pix: 1.030842 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000004 l_poly: 0.000022 l_landmark: 237.872665 l_tot: 238.903519 
(Train - epoch: 3 | iters: 105/106 | time: 0.187) l_pix: 1.057788 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000003 l_poly: 0.000022 l_landmark: 81.866364 l_tot: 82.924171 
(Train - epoch: 4 | iters: 5/106 | time: 0.189) l_pix: 1.058076 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000014 l_landmark: 56.062263 l_tot: 57.120358 
(Train - epoch: 4 | iters: 10/106 | time: 0.191) l_pix: 1.058181 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000003 l_poly: 0.000026 l_landmark: 137.791901 l_tot: 138.850113 
(Train - epoch: 4 | iters: 15/106 | time: 0.204) l_pix: 1.064307 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000001 l_poly: 0.000008 l_landmark: 111.498451 l_tot: 112.562767 
(Train - epoch: 4 | iters: 20/106 | time: 0.188) l_pix: 1.039306 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000004 l_poly: 0.000021 l_landmark: 249.836349 l_tot: 250.875671 
(Train - epoch: 4 | iters: 25/106 | time: 0.186) l_pix: 1.059307 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000003 l_poly: 0.000021 l_landmark: 138.864838 l_tot: 139.924164 
(Train - epoch: 4 | iters: 30/106 | time: 0.189) l_pix: 1.048915 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000001 l_poly: 0.000008 l_landmark: 94.669212 l_tot: 95.718132 
(Train - epoch: 4 | iters: 35/106 | time: 0.190) l_pix: 1.067332 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000003 l_poly: 0.000020 l_landmark: 159.642822 l_tot: 160.710175 
(Train - epoch: 4 | iters: 40/106 | time: 0.183) l_pix: 1.129582 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000014 l_landmark: 195.937927 l_tot: 197.067520 
(Train - epoch: 4 | iters: 45/106 | time: 0.190) l_pix: 1.071654 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000013 l_landmark: 234.698746 l_tot: 235.770416 
(Train - epoch: 4 | iters: 50/106 | time: 0.184) l_pix: 1.081860 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000013 l_landmark: 128.556366 l_tot: 129.638245 
(Train - epoch: 4 | iters: 55/106 | time: 0.192) l_pix: 1.052517 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000014 l_landmark: 97.058556 l_tot: 98.111092 
(Train - epoch: 4 | iters: 60/106 | time: 0.188) l_pix: 1.054321 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000003 l_poly: 0.000022 l_landmark: 44.087624 l_tot: 45.141972 
